seed,env_init,init_mode,sym_var_init,sym_var_final,sym_var_second_half_mean,final_R_A,final_S_A,final_I_A,final_R_B,final_S_B,final_I_B,final_R_C,final_S_C,final_I_C,converged,attractor
49,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
49,5_2_6,no_update_first_step,0.000000,0.222222,0.240000,8,8,6,3,7,8,7,8,4,0,no_conv
49,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
49,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
50,5_2_6,current,0.888889,0.222222,0.222222,8,3,6,3,2,8,7,3,4,0,no_conv
50,5_2_6,no_update_first_step,0.000000,0.222222,0.240000,8,8,6,3,7,8,7,8,4,0,no_conv
50,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
50,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
51,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
51,5_2_6,no_update_first_step,0.000000,0.222222,0.240000,8,8,6,3,7,8,7,8,4,0,no_conv
51,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
51,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
52,5_2_6,current,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1,S=0
52,5_2_6,no_update_first_step,0.000000,0.222222,0.240000,8,7,6,3,8,8,7,8,4,0,no_conv
52,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
52,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
53,5_2_6,current,0.888889,0.222222,0.222222,8,1,6,3,2,8,7,1,4,0,no_conv
53,5_2_6,no_update_first_step,0.000000,0.222222,0.240000,8,8,6,3,7,8,7,8,4,0,no_conv
53,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
53,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
54,5_2_6,current,0.888889,0.000000,0.000000,8,4,6,3,4,8,7,4,4,1,other_conv
54,5_2_6,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
54,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
54,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
55,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
55,5_2_6,no_update_first_step,0.000000,0.222222,0.240000,8,8,6,3,7,8,7,8,4,0,no_conv
55,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
55,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
56,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
56,5_2_6,no_update_first_step,0.000000,0.222222,0.266667,8,4,6,3,3,8,7,3,4,0,no_conv
56,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
56,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
57,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
