seed,env_init,schedule,mechanism,sigma,observer,converged,attractor,time_to_sync,sym_var_final,misID_snap,misID_snap_half,misID_snap_post,misID_act,misID_act_post,q_onehot_ok,final_S_A,final_S_B,final_S_C
2,8_8_8,sync,hard,,none,1,S=8,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
2,8_8_8,sync,infer,0.40,filter,1,S=8,47,0.000000,0.140000,0.093333,0.000000,0.140000,0.000000,1,8,8,8
2,8_8_8,sync,infer,1.00,filter,1,S=8,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
2,8_8_8,sync,infer,1.00,memoryless,1,S=8,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
3,5_2_6,seq_ABC,hard,,none,1,S=0,13,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
3,5_2_6,seq_ABC,infer,0.40,filter,1,S=0,33,0.000000,0.713333,0.613333,0.490196,0.720000,0.529412,1,0,0,0
3,5_2_6,seq_ABC,infer,1.00,filter,1,S=0,13,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
3,5_2_6,seq_ABC,infer,1.00,memoryless,1,S=0,13,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
3,5_2_6,seq_ACB,hard,,none,1,S=8,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
3,5_2_6,seq_ACB,infer,0.40,filter,1,S=0,41,0.000000,0.653333,0.640000,0.629630,0.660000,0.666667,1,0,0,0
3,5_2_6,seq_ACB,infer,1.00,filter,1,S=8,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
3,5_2_6,seq_ACB,infer,1.00,memoryless,1,S=8,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
3,5_2_6,seq_BAC,hard,,none,1,S=0,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
3,5_2_6,seq_BAC,infer,0.40,filter,1,S=0,38,0.000000,0.480000,0.266667,0.194444,0.486667,0.166667,1,0,0,0
3,5_2_6,seq_BAC,infer,1.00,filter,1,S=0,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
3,5_2_6,seq_BAC,infer,1.00,memoryless,1,S=0,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
3,5_2_6,seq_BCA,hard,,none,1,S=0,11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0
3,5_2_6,seq_BCA,infer,0.40,filter,1,S=0,23,0.000000,0.153333,0.000000,0.000000,0.146667,0.000000,1,0,0,0
