seed,env_mode,env_init,mechanism,sym_var_init,sym_var_final,sym_var_second_half_mean,collective_var_init,collective_var_final,collective_var_second_half_mean,pairwise_dist_init,pairwise_dist_final,pairwise_dist_second_half_mean,real_var_final,imag_var_final,final_R_A,final_S_A,final_I_A,final_R_B,final_S_B,final_I_B,final_R_C,final_S_C,final_I_C,converged,attractor
4,shared,5_2_6,noisy,0.222222,0.000000,0.008889,0.148148,0.518519,0.204444,1.138071,2.000000,1.117252,1.555556,0.000000,8,8,7,6,8,7,5,8,7,1,S=8
4,shared,8_8_8,off,0.000000,0.222222,0.302222,0.000000,0.444444,0.287407,0.000000,1.895186,1.397705,0.888889,0.222222,7,1,7,5,2,8,5,2,7,0,no_conv
4,shared,8_8_8,hard,0.222222,0.000000,0.000000,0.074074,0.074074,0.142222,0.666667,0.666667,0.798689,0.222222,0.000000,8,8,8,8,8,8,7,8,8,1,S=8
4,shared,8_8_8,soft,0.000000,0.000000,0.000000,0.000000,0.370370,0.139259,0.000000,1.745356,0.837057,0.888889,0.222222,8,8,8,6,8,8,6,8,7,1,S=8
4,shared,8_8_8,delayed,0.666667,0.000000,0.000000,0.222222,0.074074,0.127407,1.333333,0.666667,0.755542,0.222222,0.000000,5,8,8,5,8,8,6,8,8,1,S=8
4,shared,8_8_8,noisy,0.000000,0.000000,0.026667,0.000000,0.148148,0.216296,0.000000,1.138071,1.197358,0.222222,0.222222,5,8,6,5,8,7,6,8,7,1,S=8
4,isolated,5_2_6,off,0.000000,4.666667,4.275556,0.074074,4.000000,3.792593,0.666667,5.891869,5.748211,4.666667,2.666667,8,1,6,3,6,8,7,5,4,0,no_conv
4,isolated,5_2_6,hard,0.888889,0.000000,0.000000,0.370370,2.444444,2.444444,1.745356,4.426029,4.426029,4.666667,2.666667,8,0,6,3,0,8,7,0,4,1,S=0
4,isolated,5_2_6,soft,0.000000,0.000000,0.177778,0.074074,2.444444,2.764444,0.666667,4.426029,4.743427,4.666667,2.666667,8,0,6,3,0,8,7,0,4,1,S=0
4,isolated,5_2_6,delayed,0.888889,0.222222,0.222222,0.370370,2.518519,2.518519,1.745356,4.526406,4.513925,4.666667,2.666667,8,0,6,3,0,8,7,1,4,0,no_conv
4,isolated,5_2_6,noisy,0.222222,0.000000,0.017778,0.148148,2.074074,2.328889,1.138071,4.063375,4.176627,4.666667,1.555556,8,0,5,3,0,8,7,0,7,1,S=0
